Spectrum Py Ace Anth Acy Chry Benz Fluora Fluore Nap Phen x220 x225 x230 x235 x240 x245 x250 x255 x260 x265 x270 x275 x280 x285 x290 x295 x300 x305 x310 x315 x320 x325 x330 x335 x340 x345 x350
17 0.152 0.08 0.056 0.12 0.448 1.08 0.08 1 0.08 0.564 0.635 0.557 0.487 0.377 0.404 0.488 0.597 0.669 0.603 0.625 0.647 0.576 0.515 0.477 0.524 0.26 0.188 0.139 0.105 0.096 0.104 0.084 0.071 0.077 0.061 0.045 0.031
18 0.304 0.04 0.168 0.16 0.224 1.08 0.2 0.4 0.12 0.188 0.575 0.489 0.432 0.375 0.408 0.449 0.525 0.569 0.442 0.451 0.501 0.519 0.474 0.458 0.5 0.219 0.151 0.119 0.095 0.092 0.107 0.085 0.081 0.106 0.072 0.047 0.032
19 0.152 0.12 0.224 0.08 0.224 2.7 0.08 0.6 0.04 0.94 0.768 0.713 0.644 0.528 0.599 0.807 1.009 1.035 0.75 0.722 0.79 0.907 0.921 0.866 0.924 0.375 0.219 0.144 0.118 0.116 0.123 0.12 0.114 0.119 0.115 0.096 0.07
20 0.456 0.16 0.112 0.08 0.56 1.08 0.12 0.2 0.2 0.94 0.811 0.655 0.593 0.496 0.601 0.694 0.81 0.835 0.669 0.671 0.718 0.641 0.566 0.524 0.573 0.29 0.182 0.148 0.123 0.119 0.141 0.103 0.098 0.13 0.08 0.051 0.036
21 0.608 0.08 0.112 0.2 0.224 1.62 0.04 1 0.2 0.752 0.827 0.714 0.66 0.535 0.601 0.66 0.729 0.775 0.619 0.601 0.64 0.667 0.571 0.525 0.602 0.242 0.16 0.12 0.103 0.122 0.164 0.127 0.133 0.182 0.105 0.059 0.037
22 0.304 0.08 0.28 0.08 0.336 0.54 0.2 1 0.16 0.94 0.673 0.492 0.427 0.447 0.584 0.751 0.908 0.931 0.656 0.611 0.623 0.552 0.466 0.418 0.443 0.275 0.199 0.146 0.104 0.094 0.106 0.074 0.07 0.095 0.064 0.042 0.03
23 0.304 0.2 0.112 0.12 0.112 2.7 0.2 0.8 0.2 0.564 0.949 0.852 0.711 0.559 0.586 0.701 0.855 0.907 0.737 0.731 0.801 0.956 0.934 0.881 0.934 0.38 0.239 0.158 0.127 0.125 0.138 0.126 0.124 0.138 0.118 0.093 0.063
24 0.76 0.08 0.168 0.04 0.56 2.7 0.16 1 0.12 0.376 0.939 0.835 0.723 0.622 0.716 0.791 0.908 1.031 0.894 0.948 1.036 1.079 0.948 0.897 0.983 0.386 0.26 0.189 0.15 0.16 0.199 0.155 0.163 0.219 0.145 0.101 0.07
25 0.304 0.12 0.056 0.2 0.56 2.16 0.2 0.6 0.08 0.752 1.055 0.989 0.894 0.681 0.663 0.726 0.837 0.914 0.813 0.84 0.916 0.892 0.837 0.785 0.846 0.359 0.237 0.179 0.151 0.15 0.175 0.145 0.128 0.147 0.116 0.086 0.058

